RTE_SEG_ID,EN_ROUTE_RTE_ID,SEGMENT_ID,VAL_SORT,CODE_DIR,CODE_POINT_START,CODE_TYPE_START,CODE_FIR_START,GEO_LONG_START_ACCURACY,GEO_LAT_START_ACCURACY,VAL_FREQ_START,UOM_FREQ_START,VAL_ISPUBLISH_START,CODE_FLY_BY_START,CODE_POINT_END,CODE_TYPE_END,CODE_FIR_END,GEO_LONG_END_ACCURACY,GEO_LAT_END_ACCURACY,VAL_FREQ_END,UOM_FREQ_END,VAL_ISPUBLISH_END,CODE_FLY_BY_END,POINT_START_ID,POINT_END_ID,CODE_TYPE,VAL_WID,UOM_WID,CODE_REP_ATC_START,CODE_REP_ATC_END,VAL_TRUE_TRACK,VAL_MAG_TRACK,VAL_REVERS_TRUE_TRACK,VAL_REVERS_MAG_TRACK,VAL_LEN,UOM_DIST,TXT_DESIG,Airspace_Remark
6d9763d5-3fe4-44e2-b5ac-b6974b853f87,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,a5830b78-bd16-4ba9-8066-ecc99a48353e,1,X,BUMDU,DESIGNATED_POINT,,E1171655,N404250,0,,0,N,ASAVA,DESIGNATED_POINT,,E1161936,N402013,0,,0,N,e61905e4-bb21-40d3-b6ee-2b4b019b7e7e,8b35a86a-56eb-45ed-8e7e-be76bb74ac4e,RNAV2,0,,Y,Y,243,249,63,69,91,KM,W47,北京ACC
656d60fe-2773-441f-847e-c61ca8fab8f5,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,1eb969c7-f986-48c9-8ab5-7a3d556a9861,2,X,ASAVA,DESIGNATED_POINT,,E1161936,N402013,0,,0,N,AVLAP,DESIGNATED_POINT,,E1161038,N401633,0,,0,N,8b35a86a-56eb-45ed-8e7e-be76bb74ac4e,87fa8d29-6d61-46f9-bf0f-e6595813fec6,RNAV2,0,,Y,Y,242,249,62,69,14,KM,W47,北京ACC
f812a487-20b3-4834-bf1c-337c4f5d0ca9,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,6ad1fff5-921e-429d-9195-51ba86ed38fd,3,X,AVLAP,DESIGNATED_POINT,,E1161038,N401633,0,,0,N,BOTPU,DESIGNATED_POINT,,E1152830,N395907,0,,0,N,87fa8d29-6d61-46f9-bf0f-e6595813fec6,17328b5e-507a-4115-86de-1335852f0534,RNAV2,0,,Y,Y,242,249,62,69,68,KM,W47,北京ACC
603a31fb-c207-4c9c-aa3d-e1f2870a1650,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,688a4e86-de92-4f72-8185-b19b38feb215,4,F,BOTPU,DESIGNATED_POINT,,E1152830,N395907,0,,0,N,VIGEK,DESIGNATED_POINT,,E1140838,N400254,0,,0,N,17328b5e-507a-4115-86de-1335852f0534,434a0bda-2a64-4b39-871d-04632cb91f21,RNAV2,0,,Y,Y,274,280,94,100,113,KM,W47,北京ACC
6fbc42c1-1807-44b6-bdaa-ccd256b0f9f6,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,63a3f759-ccd3-4ed1-89f0-f6fd119b39b6,5,F,VIGEK,DESIGNATED_POINT,,E1140838,N400254,0,,0,N,OGEDO,DESIGNATED_POINT,,E1122718,N400943,0,,0,N,434a0bda-2a64-4b39-871d-04632cb91f21,673254e7-0981-441c-8b38-9b797b63819e,RNAV2,0,,Y,Y,276,280,96,100,144,KM,W47,北京ACC
97117bf1-4450-4cb2-a007-2efb62045ae3,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,17ccfa83-4116-4e1d-9057-20114bfedbed,6,F,OGEDO,DESIGNATED_POINT,,E1122718,N400943,0,,0,N,IGPET,DESIGNATED_POINT,,E1121054,N400509,0,,0,N,673254e7-0981-441c-8b38-9b797b63819e,e385e1a7-f15f-4e6d-a22d-e061f7026b57,RNAV2,0,,Y,Y,250,255,70,75,25,KM,W47,OGEDO:北京ACCIGPET:北京ACC7800(不含)以上呼和浩特ACC7800(含)以下
3cb74d3d-b902-4926-8bc6-894e8959f9f7,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,158dbdf1-5786-4ef5-99a8-3eab4be29628,7,F,IGPET,DESIGNATED_POINT,,E1121054,N400509,0,,0,N,IBARO,DESIGNATED_POINT,,E1115018,N395921,0,,0,N,e385e1a7-f15f-4e6d-a22d-e061f7026b57,772a5385-e2d3-4c29-b96d-4f80fbfd941f,RNAV2,0,,Y,Y,250,255,70,75,31,KM,W47,北京ACC7800(不含)以上呼和浩特ACC7800(含)以下
555176b7-b73c-47a4-b2de-076f1ae42600,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,25f0bd28-7fba-43cb-9a38-922d23b6af66,8,F,IBARO,DESIGNATED_POINT,,E1115018,N395921,0,,0,N,UGPOR,DESIGNATED_POINT,,E1105654,N390927,0,,0,N,772a5385-e2d3-4c29-b96d-4f80fbfd941f,d75594b1-8a07-4835-8dbc-e37cd91a4e72,RNAV2,0,,Y,Y,220,225,40,45,120,KM,W47,北京ACC7800(不含)以上呼和浩特ACC7800(含)以下
3dc13bda-5f10-46db-8f1b-6d8e8165cae6,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,e5d6382b-9bf8-4da2-bf8c-e9142299a22b,9,F,UGPOR,DESIGNATED_POINT,,E1105654,N390927,0,,0,N,VEXEB,DESIGNATED_POINT,,E1100940,N391137,0,,0,N,d75594b1-8a07-4835-8dbc-e37cd91a4e72,05d590a7-bacb-4d26-9e85-47fe45ca9cee,RNAV2,0,,Y,Y,274,278,94,98,68,KM,W47,北京ACC7800(不含)以上呼和浩特ACC7800(含)以下
cfedf1a2-b9b2-4211-ab8d-274fe17b6eec,6195a0c7-53c2-41f8-8d5d-a773c7cdc30c,fd9fd86f-9271-4373-a2ac-0ce7009e9991,10,F,VEXEB,DESIGNATED_POINT,,E1100940,N391137,0,,0,N,IDSOT,DESIGNATED_POINT,,E1092959,N391327,0,,0,N,05d590a7-bacb-4d26-9e85-47fe45ca9cee,3cbf21b6-d341-4f1b-9df8-3bb9fe58b6d7,RNAV2,0,,Y,Y,274,278,94,98,57,KM,W47,北京ACC7800(不含)以上呼和浩特ACC7800(含)以下
